Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0xC11,hpmcounter17,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC12,hpmcounter18,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC13,hpmcounter19,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC14,hpmcounter20,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC15,hpmcounter21,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC16,hpmcounter22,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC17,hpmcounter23,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC18,hpmcounter24,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC19,hpmcounter25,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC1A,hpmcounter26,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC1B,hpmcounter27,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC1C,hpmcounter28,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC1D,hpmcounter29,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC1E,hpmcounter30,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC1F,hpmcounter31,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
machine not implemented/hardwired,,,,,,,,,,,,,,,,,,,,
0xB09,mhpmcounter9,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB0A,mhpmcounter10,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB0B,mhpmcounter11,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
